[0.000001] 19(name=0, level=0) initalization
[0.000001] 35(name=0, level=0) initalization
[0.000001] 37(name=0, level=0) initalization
[0.000001] 43(name=0, level=0) initalization
[0.000001] 45(name=0, level=0) initalization
[0.000001] 49(name=0, level=0) initalization
[0.000001] 51(name=0, level=0) initalization
[0.000001] 59(name=0, level=0) initalization
[0.000001] 69(name=0, level=0) initalization
[0.000001] 77(name=0, level=0) initalization
[0.000001] 85(name=0, level=0) initalization
[0.000001] 25(name=0, level=0) initalization
[0.000001] 27(name=0, level=0) initalization
[0.000001] 33(name=0, level=0) initalization
[0.000001] 61(name=0, level=0) initalization
[0.000001] 65(name=0, level=0) initalization
[0.000001] 75(name=0, level=0) initalization
[0.000001] 81(name=0, level=0) initalization
[0.000001] 1(name=0, level=0) initalization
[0.000001] 11(name=0, level=0) initalization
[0.000001] 17(name=0, level=0) initalization
[0.000001] 21(name=0, level=0) initalization
[0.000001] 57(name=0, level=0) initalization
[0.000001] 89(name=0, level=0) initalization
[0.000001] 97(name=0, level=0) initalization
[0.000001] 50(name=0, level=0) initalization
[0.000001] 16(name=0, level=0) initalization
[0.000001] 18(name=0, level=0) initalization
[0.000001] 20(name=0, level=0) initalization
[0.000001] 24(name=0, level=0) initalization
[0.000001] 40(name=0, level=0) initalization
[0.000001] 68(name=0, level=0) initalization
[0.000001] 80(name=0, level=0) initalization
[0.000001] 82(name=0, level=0) initalization
[0.000001] 88(name=0, level=0) initalization
[0.000001] 90(name=0, level=0) initalization
[0.000001] 92(name=0, level=0) initalization
[0.000001] 94(name=0, level=0) initalization
[0.000001] 4(name=0, level=0) initalization
[0.000001] 6(name=0, level=0) initalization
[0.000001] 10(name=0, level=0) initalization
[0.000001] 14(name=0, level=0) initalization
[0.000001] 26(name=0, level=0) initalization
[0.000001] 28(name=0, level=0) initalization
[0.000001] 30(name=0, level=0) initalization
[0.000001] 36(name=0, level=0) initalization
[0.000001] 38(name=0, level=0) initalization
[0.000001] 48(name=0, level=0) initalization
[0.000001] 52(name=0, level=0) initalization
[0.000001] 54(name=0, level=0) initalization
[0.000001] 58(name=0, level=0) initalization
[0.000001] 60(name=0, level=0) initalization
[0.000001] 62(name=0, level=0) initalization
[0.000001] 70(name=0, level=0) initalization
[0.000001] 72(name=0, level=0) initalization
[0.000001] 74(name=0, level=0) initalization
[0.000001] 64(name=0, level=0) initalization
[0.000001] 76(name=0, level=0) initalization
[0.000001] 84(name=0, level=0) initalization
[0.000001] 0(name=0, level=0) initalization
[0.000001] 8(name=0, level=0) initalization
[0.000001] 41(name=0, level=0) initalization
[0.000001] 66(name=0, level=0) initalization
[0.000001] 73(name=0, level=0) initalization
[0.000001] 96(name=0, level=0) initalization
[0.000001] 98(name=0, level=0) initalization
[0.000001] 2(name=0, level=0) initalization
[0.000001] 9(name=0, level=0) initalization
[0.000001] 32(name=0, level=0) initalization
[0.000001] 34(name=0, level=0) initalization
[0.000001] 71(name=0, level=0) initalization
[0.000001] 79(name=0, level=0) initalization
[0.000001] 83(name=0, level=0) initalization
[0.000001] 87(name=0, level=0) initalization
[0.000001] 91(name=0, level=0) initalization
[0.000001] 95(name=0, level=0) initalization
[0.000001] 3(name=0, level=0) initalization
[0.000001] 7(name=0, level=0) initalization
[0.000001] 15(name=0, level=0) initalization
[0.000001] 23(name=0, level=0) initalization
[0.000001] 31(name=0, level=0) initalization
[0.000001] 47(name=0, level=0) initalization
[0.000001] 55(name=0, level=0) initalization
[0.000001] 29(name=0, level=0) initalization
[0.000001] 78(name=0, level=0) initalization
[0.000001] 93(name=0, level=0) initalization
[0.000002] 13(name=0, level=0) initalization
[0.000002] 42(name=0, level=0) initalization
[0.000002] 53(name=0, level=0) initalization
[0.000002] 56(name=0, level=0) initalization
[0.000002] 86(name=0, level=0) initalization
[0.000002] 22(name=0, level=0) initalization
[0.000002] 46(name=0, level=0) initalization
[0.000002] 12(name=0, level=0) initalization
[0.000002] 44(name=0, level=0) initalization
[0.000002] 63(name=0, level=0) initalization
[0.000002] 99(name=0, level=0) initalization
[0.000002] 39(name=0, level=0) initalization
[0.000005] 67(name=0, level=0) initalization
[0.000012] 48(name=0, level=0) sending connect to 57 with level=0
[0.000013] 70(name=0, level=0) sending connect to 92 with level=0
[0.000013] 98(name=0, level=0) sending connect to 70 with level=0
[0.000013] 31(name=0, level=0) sending connect to 20 with level=0
[0.000014] 82(name=0, level=0) sending connect to 40 with level=0
[0.000014] 94(name=0, level=0) sending connect to 76 with level=0
[0.000014] 4(name=0, level=0) sending connect to 0 with level=0
[0.000014] 38(name=0, level=0) sending connect to 0 with level=0
[0.000014] 76(name=0, level=0) sending connect to 77 with level=0
[0.000014] 84(name=0, level=0) sending connect to 48 with level=0
[0.000014] 66(name=0, level=0) sending connect to 26 with level=0
[0.000014] 9(name=0, level=0) sending connect to 0 with level=0
[0.000014] 71(name=0, level=0) sending connect to 81 with level=0
[0.000014] 79(name=0, level=0) sending connect to 1 with level=0
[0.000014] 87(name=0, level=0) sending connect to 0 with level=0
[0.000014] 95(name=0, level=0) sending connect to 72 with level=0
[0.000014] 47(name=0, level=0) sending connect to 2 with level=0
[0.000014] 55(name=0, level=0) sending connect to 68 with level=0
[0.000014] 78(name=0, level=0) sending connect to 37 with level=0
[0.000015] 90(name=0, level=0) sending connect to 73 with level=0
[0.000015] 92(name=0, level=0) sending connect to 70 with level=0
[0.000015] 6(name=0, level=0) sending connect to 43 with level=0
[0.000015] 10(name=0, level=0) sending connect to 71 with level=0
[0.000015] 14(name=0, level=0) sending connect to 1 with level=0
[0.000015] 46(name=0, level=0) sending connect to 28 with level=0
[0.000015] 60(name=0, level=0) sending connect to 52 with level=0
[0.000015] 64(name=0, level=0) sending connect to 1 with level=0
[0.000015] 0(name=0, level=0) sending connect to 1 with level=0
[0.000015] 73(name=0, level=0) sending connect to 90 with level=0
[0.000015] 2(name=0, level=0) sending connect to 0 with level=0
[0.000015] 91(name=0, level=0) sending connect to 1 with level=0
[0.000015] 3(name=0, level=0) sending connect to 1 with level=0
[0.000015] 29(name=0, level=0) sending connect to 0 with level=0
[0.000016] 27(name=0, level=0) sending connect to 98 with level=0
[0.000016] 21(name=0, level=0) sending connect to 0 with level=0
[0.000016] 57(name=0, level=0) sending connect to 48 with level=0
[0.000016] 97(name=0, level=0) sending connect to 1 with level=0
